#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 320858:7024 | 08/05/18 16:27:34 | 230  | 230  | 37.257         | 35.805        |
| 320859:7024 | 08/05/18 18:00:17 | 40   | 40   | 4.908          | 4.698         |
| 320887:7026 | 08/05/18 22:38:35 | 273  | 273  | 103.210        | 99.881        |
| 320888:7026 | 08/06/18 00:26:11 | 26   | 26   | 9.341          | 9.089         |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 7.010          | 6.309         |
| 320917:7031 | 08/06/18 09:25:18 | 1926 | 1926 | 470.560        | 456.327       |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 23.539         | 22.913        |
| 320933:7033 | 08/07/18 03:29:36 | 175  | 172  | 52.866         | 49.574        |
| 320934:7033 | 08/07/18 04:38:32 | 831  | 826  | 208.551        | 200.871       |
| 320936:7033 | 08/07/18 10:01:23 | 407  | 400  | 79.140         | 74.726        |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 15.436         | 14.932        |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 37.910         | 36.812        |
| 320995:7036 | 08/07/18 19:28:56 | 189  | 183  | 28.235         | 25.051        |
| 320996:7036 | 08/07/18 20:42:31 | 380  | 380  | 48.952         | 46.755        |
| 321004:7037 | 08/08/18 01:47:43 | 150  | 147  | 48.978         | 44.806        |
| 321005:7037 | 08/08/18 02:48:15 | 61   | 61   | 20.430         | 18.327        |
| 321006:7037 | 08/08/18 03:15:06 | 162  | 162  | 51.661         | 49.393        |
| 321007:7037 | 08/08/18 04:19:57 | 831  | 829  | 200.416        | 193.443       |
| 321009:7037 | 08/08/18 09:43:26 | 85   | 79   | 15.881         | 14.042        |
| 321010:7037 | 08/08/18 10:16:22 | 342  | 342  | 56.960         | 54.548        |
| 321011:7037 | 08/08/18 12:32:48 | 213  | 211  | 30.335         | 27.602        |
| 321012:7037 | 08/08/18 13:58:31 | 47   | 47   | 5.138          | 4.740         |
| 321051:7039 | 08/09/18 03:17:55 | 1122 | 1113 | 334.958        | 317.240       |
| 321055:7039 | 08/09/18 10:35:37 | 730  | 730  | 131.326        | 128.357       |
| 321067:7040 | 08/09/18 18:21:45 | 595  | 593  | 183.290        | 175.777       |
| 321068:7040 | 08/09/18 22:16:40 | 715  | 707  | 156.027        | 150.153       |
| 321069:7040 | 08/10/18 02:54:15 | 313  | 313  | 52.451         | 50.678        |
| 321119:7042 | 08/10/18 15:12:52 | 170  | 169  | 63.942         | 59.637        |
| 321121:7042 | 08/10/18 16:22:07 | 47   | 46   | 17.671         | 16.106        |
| 321122:7042 | 08/10/18 16:42:12 | 395  | 391  | 130.432        | 122.550       |
| 321124:7042 | 08/10/18 19:20:27 | 819  | 818  | 196.842        | 189.121       |
| 321126:7042 | 08/11/18 01:03:46 | 493  | 493  | 83.364         | 80.763        |
